slug,rank
force-protocol,1.0
lympo,2.0
degenerator,3.0
wownero,4.0
herocoin,5.0
lcx,6.0
fedoracoin,7.0
presearch,8.0
duckdaodime,9.0
radium,10.0
ferrum-network,11.0
troy,12.0
zap,13.0
ghost-by-mcafee,14.0
robonomics-network,15.0
yflink,16.0
roobee,17.0
enigma,18.0
elysia,19.0
cashbet-coin,20.0
gulden,21.0
chronobank,22.0
howdoo,23.0
probit-exchange,24.0
odyssey,25.0
pibble,26.0
proximax,27.0
spacechain-erc-20,28.0
gambit,29.0
parachute,30.0
apm-coin,31.0
aleph,32.0
dxdao,33.0
oin-finance,34.0
essentia,35.0
compound-wrapped-btc,36.0
crypterium,37.0
kryll,38.0
ether-1,39.0
adshares,40.0
measurable-data-token,41.0
mixmarvel,42.0
coinvest,43.0
cache-gold,44.0
evedo,45.0
tenx,46.0
circuits-of-value,47.0
iqeon,48.0
unifi,49.0
dos-network,50.0
propy,51.0
daex,52.0
rupiah-token,53.0
blox,54.0
xio,55.0
xmax,56.0
vitae,57.0
nyzo,58.0
matryx,59.0
lobstex-coin,60.0
experience-chain,61.0
anj,62.0
unilayer,63.0
pluton,64.0
multivac,65.0
quadrant-protocol,66.0
smart-valor,67.0
cvcoin,68.0
kambria,69.0
ignis,70.0
vexanium,71.0
autonio,72.0
dacc,73.0
jarvis-reward-token,74.0
bibox-token,75.0
pumapay,76.0
cap,77.0
libra-credit,78.0
reserve,79.0
digitex-futures-exchange,80.0
happycoin,81.0
jupiter,82.0
offshift,83.0
revain,84.0
ethart,85.0
the-abyss,86.0
hakka-finance,87.0
emercoin,88.0
merculet,89.0
eosforce,90.0
openanx,91.0
lamden,92.0
egretia,93.0
babb,94.0
u-network,95.0
airbloc-protocol,96.0
elysian,97.0
turtlecoin,98.0
oceanex-token,99.0
qlink,100.0
